id,pedido_disur,pedido_exfarma,requisicion,lote,clave,descripcion,marca_disur,marca_exfarma,unidad,cantidad,precio_disur,precio_exfarma,tipo,cause
33,P-16-0001,P-16-0005,299,33,010.000.0433.00,"TERBUTALINA TABLETA. Cada tableta contiene: Sulfato de terbutalina 5 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,18.89,18.89,1,1
34,P-16-0001,P-16-0005,299,34,010.000.0437.00,"TEOFILINA COMPRIMIDO O TABLETA O CÁPSULA DE LIBERACIÓN PROLONGADA. Cada comprimido, tableta o cÁpsula contiene: Teofilina anhidra 100 mg. Envase con 20 comprimidos o tabletas o cÁpsulas de liberaciÓn",GENERICO,GENERICO,Envase,1,19.63,19.63,1,1
35,P-16-0001,P-16-0005,299,35,010.000.0438.00,"TERBUTALINA POLVO. Cada dosis contiene: Sulfato de terbutalina 0.5 mg. Envase con inhalador para 200 dosis.",BRICANYL,BRICANYL,Envase,1,156.44,156.44,1,1
36,P-16-0001,P-16-0005,299,36,010.000.0439.00,"SALBUTAMOL SOLUCIÓN PARA NEBULIZADOR. Cada 100 ml. contienen: Sulfato de salbutamol 0.5 g. Envase con 10 ml.",GENERICO,GENERICO,Envase,1,26.16,26.16,1,1
37,P-16-0001,P-16-0005,299,37,010.000.0443.00,"SALMETEROL, FLUTICASONA SUSPENSIÓN EN AEROSOL. Cada gramo contiene: Xinafoato de salmeterol equivalente a 0.33 mg. de salmeterol",GENERICO,GENERICO,Envase,1,214.04,214.04,1,1
38,P-16-0001,P-16-0005,299,38,010.000.0464.00,"CROMOGLICATO DE SODIO SUSPENSIÓN AEROSOL. Cada inhalador contiene: Cromoglicato disÓdico 560 mg. Envase con espaciador para 112 dosis de 5 mg.",GENERICO,GENERICO,Envase,1,104.66,104.66,1,1
39,P-16-0001,P-16-0005,299,39,010.000.0472.00,"PREDNISONA TABLETA. Cada tableta contiene: Prednisona 5 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,6.17,6.17,1,1
40,P-16-0001,P-16-0005,299,40,010.000.0473.00,"PREDNISONA TABLETA. Cada tableta contiene: Prednisona 50 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,23.83,23.83,1,1
41,P-16-0001,P-16-0005,299,41,010.000.0474.00,"HIDROCORTISONA SOLUCIÓN INYECTABLE. Cada frasco Ámpula contiene: Succinato sÓdico de hidrocortisona equivalente a 100 mg. de hidrocortisona. Envase con 50",GENERICO,GENERICO,Envase,1,530.00,530.00,1,1
42,P-16-0001,P-16-0005,299,42,010.000.0476.00,"METILPREDNISOLONA SOLUCIÓN INYECTABLE. Cada frasco Ámpula con liofilizado contiene: Succinato sÓdico de metilprednisolona equivalente a 500 mg. de metilprednisolona. Envase con 50 frascos Ámpula y 50 ampolletas con 8 ml. de diluyente.",GENERICO,GENERICO,Envase,1,3650.00,3650.00,1,1
43,P-16-0001,P-16-0005,299,43,010.000.0477.00,"DIPROPIONATO DE BECLOMETASONA, SUSPENSIÓN EN AEROSOL. Cada inhalador contiene: Dipropionato de beclometasona 10 mg. Envase con inhalador con 200",GENERICO,GENERICO,Envase,1,35.50,35.50,1,1
44,P-16-0001,P-16-0005,299,44,010.000.0502.00,"DIGOXINA TABLETA. Cada tableta contiene: Digoxina 0.25 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,5.04,5.04,1,1
45,P-16-0001,P-16-0005,299,45,010.000.0503.00,"DIGOXINA ELÍXIR. Cada ml. contiene: Digoxina 0.05 mg. Envase conteniendo 60 ml. con gotero calibrado de 1 ml. integrado o adjunto al frasco y le sirve de tapa.",GENERICO,GENERICO,Envase,1,124.96,124.96,1,1
46,P-16-0001,P-16-0005,299,46,010.000.0504.00,"DIGOXINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Digoxina 0.5 mg. Envase con 6 ampolletas de 2 ml.",GENERICO,GENERICO,Envase,1,56.81,56.81,1,1
47,P-16-0001,P-16-0005,299,47,010.000.0514.00,"PARACETAMOL SUPOSITORIO. Cada supositorio contiene: Paracetamol 100 mg.",GENERICO,GENERICO,"Envase con 3 supositorios.",1,4.31,4.31,1,1
48,P-16-0001,P-16-0005,299,48,010.000.0514.01,"PARACETAMOL SUPOSITORIO. Cada supositorio contiene: Paracetamol 100 mg.",GENERICO,GENERICO,"Envase con 6 supositorios",1,13.25,13.25,1,1
49,P-16-0001,P-16-0005,299,49,010.000.0514.02,"PARACETAMOL SUPOSITORIO. Cada supositorio contiene: Paracetamol 100 mg.","TEMPRA ","TEMPRA ","Envase con 10 supositorios",1,24.73,24.73,1,1
50,P-16-0001,P-16-0005,299,50,010.000.0522.00,"LIDOCAÍNA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Clorhidrato de lidocaÍna 100 mg. Envase con 1 ampolleta de 5 ml.",GENERICO,GENERICO,Envase,1,80.00,80.00,1,1
51,P-16-0001,P-16-0005,299,51,010.000.0524.00,"CLORURO DE POTASIO SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Cloruro de potasio 1.49 g. (20 mEq de potasio, 20 mEq de cloro). Envase con 50 ampolletas",GENERICO,GENERICO,Envase,1,82.74,82.74,1,1
52,P-16-0001,P-16-0005,299,52,010.000.0525.00,"FENITOÍNA TABLETA O CÁPSULA. Cada tableta o cÁpsula contiene: FenitoÍna sÓdica 100 mg. Envase con 50 tabletas o cÁpsulas.",GENERICO,GENERICO,Envase,1,8.58,8.58,1,1
53,P-16-0001,P-16-0005,299,53,010.000.0530.00,"PROPRANOLOL TABLETA. Cada tableta contiene: Clorhidrato de propranolol 40 mg. Envase con 30 tabletas.",GENERICO,GENERICO,Envase,1,5.29,5.29,1,1
54,P-16-0001,P-16-0005,299,54,010.000.0539.00,"PROPRANOLOL TABLETA. Cada tableta contiene: Clorhidrato de propranolol 10 mg. Envase con 30 tabletas.",GENERICO,GENERICO,Envase,1,14.43,14.43,1,1
55,P-16-0001,P-16-0005,299,55,010.000.0561.00,"CLORTALIDONA TABLETA. Cada tableta contiene: Clortalidona 50 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,4.60,4.60,1,1
56,P-16-0001,P-16-0005,299,56,010.000.0566.00,"METILDOPA TABLETA. Cada tableta contiene: Metildopa 250 mg. Envase con 30 tabletas.",GENERICO,GENERICO,Envase,1,11.64,11.64,1,1
57,P-16-0001,P-16-0005,299,57,010.000.0569.00,"NITROPRUSIATO DE SODIO SOLUCIÓN INYECTABLE. Cada frasco Ámpula con polvo o soluciÓn contiene: Nitroprusiato de sodio 50 mg. Envase con un frasco Ámpula con o sin diluyente.",GENERICO,GENERICO,Envase,1,329.73,329.73,1,1
58,P-16-0001,P-16-0005,299,58,010.000.0570.00,"HIDRALAZINA TABLETA. Cada tableta contiene: Clorhidrato de hidralazina 10 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,7.13,7.13,1,1
59,P-16-0001,P-16-0005,299,59,010.000.0572.00,"METOPROLOL TABLETA. Cada tableta contiene: Tartrato de metoprolol 100 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,4.50,4.50,1,1
60,P-16-0001,P-16-0005,299,60,010.000.0574.00,"CAPTOPRIL TABLETA. Cada tableta contiene: Captopril 25 mg. Envase con 30 tabletas.",GENERICO,GENERICO,Envase,1,3.05,3.05,1,1
61,P-16-0001,P-16-0005,299,61,010.000.0591.00,"TRINITRATO DE GLICERILO CÁPSULA O TABLETA MASTICABLE. Cada cÁpsula o tableta masticable contiene: Trinitrato de glicerol 0.8 mg. Envase con 24 cÁpsulas o tabletas masticables.",ANGLIX,ANGLIX,Envase,1,122.13,122.13,1,1
62,P-16-0001,P-16-0005,299,62,010.000.0592.00,"ISOSORBIDA TABLETA SUBLINGUAL. Cada tableta contiene: Dinitrato de isosorbida 5 mg. Envase con 20 tabletas sublinguales.",GENERICO,GENERICO,Envase,1,18.58,18.58,1,1
63,P-16-0001,P-16-0005,299,63,010.000.0593.00,"ISOSORBIDA TABLETA. Cada tableta contiene: Dinitrato de isosorbida 10 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,4.03,4.03,1,1
64,P-16-0001,P-16-0005,299,64,010.000.0596.00,"VERAPAMILO GRAGEA O TABLETA RECUBIERTA. Cada gragea o tableta recubierta contiene: Clorhidrato de verapamilo 80 mg. Envase con 20 grageas o tabletas recubiertas.",GENERICO,GENERICO,Envase,1,6.92,6.92,1,1
65,P-16-0001,P-16-0005,299,65,010.000.0597.00,"NIFEDIPINO CÁPSULA DE GELATINA BLANDA. Cada cÁpsula contiene: Nifedipino 10 mg. Envase con 20 cÁpsulas.",GENERICO,GENERICO,Envase,1,3.45,3.45,1,1
66,P-16-0001,P-16-0005,299,66,010.000.0598.00,"VERAPAMILO SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Clorhidrato de verapamilo 5mg. Envase con 2 ml. (2.5 mg. / ml.).",GENERICO,GENERICO,Envase,1,14.18,14.18,1,1
67,P-16-0001,P-16-0005,299,67,010.000.0599.00,"NIFEDIPINO COMPRIMIDO DE LIBERACIÓN PROLONGADA. Cada comprimido contiene: Nifedipino 30 mg. Envase con 30 comprimidos.",GENERICO,GENERICO,Envase,1,19.45,19.45,1,1
68,P-16-0001,P-16-0005,299,68,010.000.0611.00,"EPINEFRINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Epinefrina 1 mg. (1:1 000) Envase con 50 ampolletas con 1 ml.",GENERICO,GENERICO,Envase,1,196.20,196.20,1,1
69,P-16-0001,P-16-0005,299,69,010.000.0614.00,"DOPAMINA SOLUCIÓN INYECTABLE. Cada ampolleta contiene: Clorhidrato de dopamina 200 mg. Envase con 5 ampolletas con 5 ml.",GENERICO,GENERICO,Envase,1,23.76,23.76,1,1
70,P-16-0001,P-16-0005,299,70,010.000.0615.00,"DOBUTAMINA SOLUCIÓN INYECTABLE. Cada frasco Ámpula o ampolleta contiene: Clorhidrato de dobutamina equivalente a 250 mg. de dobutamina. Envase con 5 ampolletas con 5 ml. Cada una o con un frasco Ámpula con 20 ml.",GENERICO,GENERICO,Envase,1,23.14,23.14,1,1
71,P-16-0001,P-16-0005,299,71,010.000.0621.00,"HEPARINA SOLUCIÓN INYECTABLE. Cada frasco Ámpula contiene: Heparina sÓdica equivalente a 10 000 UI de heparina. Envase con 50 frascos Ámpula con 10 ml.",GENERICO,GENERICO,Envase,1,945.00,945.00,1,1
72,P-16-0001,P-16-0005,299,72,010.000.0622.00,"HEPARINA SOLUCIÓN INYECTABLE. Cada frasco Ámpula contiene: Heparina sÓdica equivalente a 25 000 UI de heparina. Envase con 50 frascos Ámpula con 5 ml. (5 000",GENERICO,GENERICO,Envase,1,1760.00,1760.00,1,1
73,P-16-0001,P-16-0005,299,73,010.000.0623.00,"WARFARINA TABLETA. Cada tableta contiene: Warfarina sÓdica 5 mg. Envase con 25 tabletas.",GENERICO,GENERICO,Envase,1,25.22,25.22,1,1
74,P-16-0001,P-16-0005,299,74,010.000.0624.00,"ACENOCUMAROL TABLETA. Cada tableta contiene: Acenocumarol 4 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,14.36,14.36,1,1
75,P-16-0001,P-16-0005,299,75,010.000.0624.01,"ACENOCUMAROL TABLETA. Cada tableta contiene: Acenocumarol 4 mg. Envase con 30 tabletas.",GENERICO,GENERICO,Envase,1,21.54,21.54,1,1
76,P-16-0001,P-16-0005,299,76,010.000.0641.00,"DEXTRÁN SOLUCIÓN INYECTABLE AL 10%. Cada 100 mililitros contienen: DextrÁn (40 000): 10 g. Glucosa 5 g. Envase con 500 ml.",GENERICO,GENERICO,Envase,1,241.70,241.70,1,1
77,P-16-0001,P-16-0005,299,77,010.000.0655.00,"BEZAFIBRATO TABLETA. Cada tableta contiene: Bezafibrato 200 mg. Envase con 30 tabletas.",GENERICO,GENERICO,Envase,1,7.99,7.99,1,1
78,P-16-0001,P-16-0005,299,78,010.000.0657.00,"PRAVASTATINA TABLETA. Cada tableta contiene: Pravastatina sÓdica 10 mg. Envase con 30 tabletas.",GENERICO,GENERICO,Envase,1,8.53,8.53,1,1
79,P-16-0001,P-16-0005,299,79,010.000.0801.00,"BAN~O COLOIDE POLVO. Cada gramo contiene: Harina de soya 965 mg. (contenido proteico 45%) polividona 20 mg. Envase con uno sobre individual de 90 g.",GENERICO,GENERICO,Envase,1,9.12,9.12,1,1
80,P-16-0001,P-16-0005,299,80,010.000.0801.01,"BAN~O COLOIDE POLVO. Cada gramo contiene: Harina de soya 965 mg. (contenido proteico 45%) polividona 20 mg. Envase con dos sobres individuales de 90 g.",GENERICO,GENERICO,Envase,1,17.78,17.78,1,1
81,P-16-0001,P-16-0005,299,81,010.000.0804.00,"ÓXIDO DE ZINC PASTA. Cada 100 g. contienen: Óxido de zinc 25. 0 g. Envase con 30 g.",GENERICO,GENERICO,Envase,1,5.15,5.15,1,1
82,P-16-0001,P-16-0005,299,82,010.000.0813.00,"HIDROCORTISONA CREMA. Cada g. contiene: 17 Butirato de hidrocortisona 1 mg. Envase con 15 g.",GENERICO,GENERICO,Envase,1,20.44,20.44,1,1
83,P-16-0001,P-16-0005,299,83,010.000.0822.00,"BENZOILO LOCIÓN DÉRMICA O GEL DÉRMICO. Cada 100 mililitros o gramos contienen: PerÓxido de benzoilo 5 g. Envase con 30 ml.",GENERICO,GENERICO,Envase,1,13.57,13.57,1,1
84,P-16-0001,P-16-0005,299,84,010.000.0822.01,"BENZOILO LOCIÓN DÉRMICA O GEL DÉRMICO. Cada 100 mililitros o gramos contienen: PerÓxido de benzoilo 5 g. Envase con 50 ml.",GENERICO,GENERICO,Envase,1,22.62,22.62,1,1
85,P-16-0001,P-16-0005,299,85,010.000.0822.02,"BENZOILO LOCIÓN DÉRMICA O GEL DÉRMICO. Cada 100 mililitros o gramos contienen: PerÓxido de benzoilo 5 g. Envase con 60 g.",GENERICO,GENERICO,Envase,1,27.14,27.14,1,1
86,P-16-0001,P-16-0005,299,86,010.000.0831.00,"ALANTOINA Y ALQUITRÁN DE HULLA SUSPENSIÓN DÉRMICA. Cada ml. contiene: AlantoÍna 20.0 mg. AlquitrÁn de hulla 9.4 mg. Envase con 120 ml.",GENERICO,GENERICO,Envase,1,26.30,26.30,1,1
87,P-16-0001,P-16-0005,299,87,010.000.0861.00,"BENCILO EMULSIÓN DÉRMICA. Cada ml. contiene: Benzoato de bencilo 300 mg. Envase con 120 ml.",GENERICO,GENERICO,Envase,1,12.14,12.14,1,1
88,P-16-0001,P-16-0005,299,88,010.000.0865.00,"PERMETRINA SOLUCIÓN. Cada 100 ml. contienen: Permetrina 1 g. Envase con 110 ml.",SCABISAN,SCABISAN,Envase,1,90.14,90.14,1,1
89,P-16-0001,P-16-0005,299,89,010.000.0871.00,"ALIBOUR POLVO. Cada gramo contiene: Sulfato de Cobre 177.0 mg. Sulfato de Zinc 619.5 mg. Alcanfor 26.5 mg. Envase con 12 sobres con 2.2 g.",GENERICO,GENERICO,Envase,1,9.56,9.56,1,1
90,P-16-0001,P-16-0005,299,90,010.000.0872.00,"CLIOQUINOL CREMA. Cada g. contiene: Clioquinol 30 mg. Envase con 20 g.",GENERICO,GENERICO,Envase,1,5.04,5.04,1,1
91,P-16-0001,P-16-0005,299,91,010.000.0891.00,"MICONAZOL CREMA. Cada gramo contiene: Nitrato de miconazol 20 mg. Envase con 20 g.",GENERICO,GENERICO,Envase,1,5.00,5.00,1,1
92,P-16-0001,P-16-0005,299,92,010.000.0901.00,"PODOFILINA SOLUCIÓN DÉRMICA. Cada ml. contiene: Resina de podofilina 250 mg. Envase con 5 ml.",GENERICO,GENERICO,Envase,1,117.14,117.14,1,1
93,P-16-0001,P-16-0005,299,93,010.000.0904.00,"ÁCIDO RETINOICO CREMA. Cada 100 gramos contienen: Ácido retinoico 0.05 g. Envase con 20 g.",GENERICO,GENERICO,Envase,1,5.29,5.29,1,1
94,P-16-0001,P-16-0005,299,94,010.000.0906.00,"DAPSONA TABLETA. Cada tableta contiene: Dapsona 100 mg. Envase con 1000 tabletas",GENERICO,GENERICO,Envase,1,2496.00,2496.00,1,1
95,P-16-0001,P-16-0005,299,95,010.000.1006.00,"CALCIO COMPRIMIDO EFERVESCENTE. Cada comprimido contiene: Lactato gluconato de calcio 2.94 g. carbonato de calcio 300 mg. equivalente a 500 mg. de calcio ionizable. Envase con 12 comprimidos.",GENERICO,GENERICO,Envase,1,13.40,13.40,1,1
96,P-16-0001,P-16-0005,299,96,010.000.1007.00,"LEVOTIROXINA TABLETA. Cada tableta contiene: Levotiroxina sÓdica equivalente a 100 µg de levotiroxina sÓdica anhidra. Envase con 100 tabletas.",GENERICO,GENERICO,Envase,1,16.47,16.47,1,1
97,P-16-0001,P-16-0005,299,97,010.000.1022.00,"TIAMAZOL TABLETA. Cada tableta contiene: Tiamazol 5 mg. Envase con 20 tabletas.",GENERICO,GENERICO,Envase,1,12.08,12.08,1,1
98,P-16-0001,P-16-0005,299,98,010.000.1042.00,"GLIBENCLAMIDA TABLETA. Cada tableta contiene: Glibenclamida 5 mg. Envase con 50 tabletas.",GENERICO,GENERICO,Envase,1,2.65,2.65,1,1
99,P-16-0001,P-16-0005,299,99,010.000.1050.00,"INSULINA HUMANA SUSPENSIÓN INYECTABLE ACCIÓN INTERMEDIA NPH. Cada ml. contiene: Insulina humana isÓfana (origen ADN recombinante) 100 UI o Insulina zinc isÓfana humana (origen ADN recombinante) 100 UI Envase con un frasco Ámpula con 5 ml.",GENERICO,GENERICO,Envase,1,15.05,15.05,1,1
100,P-16-0001,P-16-0005,299,100,010.000.1050.01,"INSULINA HUMANA SUSPENSIÓN INYECTABLE ACCIÓN INTERMEDIA NPH. Cada ml. contiene: Insulina humana isÓfana (origen ADN recombinante) 100 UI o Insulina zinc isÓfana humana (origen ADN recombinante) 100 UI Envase con un frasco Ámpula con 10 ml.",GENERICO,GENERICO,Envase,1,30.09,30.09,1,1
101,P-16-0001,P-16-0005,299,101,010.000.1051.00,"INSULINA HUMANA SOLUCIÓN INYECTABLE ACCIÓN RÁPIDA REGULAR. Cada ml. contiene: Insulina humana (origen ADN recombinante) 100 UI o Insulina zinc isÓfana humana (origen ADN recombinante) 100 UI Envase con un frasco Ámpula con 5 ml.",GENERICO,GENERICO,Envase,1,27.11,27.11,1,1
102,P-16-0001,P-16-0005,299,102,010.000.1051.01,"INSULINA HUMANA SOLUCIÓN INYECTABLE ACCIÓN RÁPIDA REGULAR. Cada ml. contiene: Insulina humana (origen ADN recombinante) 100 UI o Insulina zinc isÓfana humana (origen ADN recombinante) 100 UI Envase con un frasco Ámpula con 10ml.",GENERICO,GENERICO,Envase,1,27.58,27.58,1,1
