clues,clues_nombre,jurisdiccion,municipio,localidad,tipologia,empresa_clave,tipo_clues,empresa_nombre,director_unidad,administrador,encargado_almacen,coordinador_comision_abasto,lugar_entrega
CSSSA017394,ALMACÉN JURISDICCIONAL (TAPACHULA),7,TAPACHULA,TAPACHULA DE CÓRDOVA Y ORDÓÑEZ,"ALMACENES
",exfarma,2,"EXFARMA, S.A. DE C.V.",DR. JOSE ESAU GUZMAN MORALEZ,LCP. Y AP. CHRISTHIAN ALEJANDRO SOZAYA MEZA,LCI. ANGEL PRIMITIVO VILLATORO MECINAS,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,"Almacen Jurisdiccional Tapachula 3era. AV. SUR No. 19 ESQ. 2da. PRIV. OTE,"
CSSSA017411,ALMACÉN JURISDICCIONAL (OCOSINGO),9,OCOSINGO,OCOSINGO,"ALMACENES
",disur,2,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DIRECTOR,ADMINISTRADOR,ENCARGADO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL OCOSINGO
JURISMOTO10,ALMACÉN JURISDICCIONAL (MOTOZINTLA),10,MOTOZINTLA,MOTOZINTLA,ALMACENES,disur,2,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. CELIN CLEMENTE VARGAS,LIC. RAUL GONZALEZ CASTELLANOS,LIC. MARCO ANTONIO GALINDO PEREZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL MOTOZINTLA
CSSSA017353,ALMACÉN JURISDICCIONAL (COMITÁN),3,COMITÁN DE DOMÍNGUEZ,COMITÁN DE DOMÍNGUEZ,"ALMACENES
",exfarma,2,"EXFARMA, S.A. DE C.V.",DIRECTOR,ADMINISTRADOR,ENCARGADO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL DE COMITAN
CSSSA017365,ALMACÉN JURISDICCIONAL (VILLAFLORES),4,VILLAFLORES,VILLAFLORES,"ALMACENES
",exfarma,2,"EXFARMA, S.A. DE C.V.",DR. OSCAR EDGARDO SARMIENTO MACIAS,CP. VICTOR MANUEL SOLIS TOLDEO,LIC. MICHEL ARMANDO ASTUDILLO ARCE,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN JURISDICCIONAL VILLAFLORES
CSSSA017370,ALMACÉN JURISDICCIONAL (PICHUCALCO),5,PICHUCALCO,PICHUCALCO,"ALMACENES
",disur,2,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. CARLOS GARCÍA LARA,L.A.E. MANUEL POSADA CASTILLA,ENF. LUIS HERNÁNDEZ RUIZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen Jurisdiccional Pichucalco
CSSSA004595,HOSPITAL GENERAL PALENQUE,6,PALENQUE,PALENQUE,"HOSPITAL GENERAL
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. DANIEL ROBERTO MARTINEZ PÉREZ,LIC. MARÍA PATRICIA GUTIERREZ RODRÍGEZ,LIC. BERTHA ALAVARADO NARVAÉZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,HOSPITAL GENERAL DE PALENQUE; CHIAPAS.
CSSSA017731,H. B. C. DE SANTO DOMINGO,6,OCOSINGO,SANTO DOMINGO,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Dr. Alfredo Hernandez Jimenez,CP Felix Pineda Oporto,Baltazar Ramirez Perez,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen delHospital Sto Domingo
CSSSA019481,H. B. C. DE SAN JUAN CHAMULA,2,CHAMULA,CHAMULA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DRA. SOFIA CARLOTA AGUILAR HERRERA,LIC. CAROL EDMUNDO D ARTOTE GONZALEZ,LIC. LUZ ESTER GÓMEZ AGUILAR,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN DEL HBC CHAMULA
CSSSA017726,H. B. C. DE LARRAINZAR,2,LARRÁINZAR,LARRÁINZAR,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",Dr. Alan Porfirio Campos Cruz,Lic. Edgar Ramón Martínez Paniagua,Lorena Roque Zepeda,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacén del HBC de Larrainzar
CSSSA006403,HOSPITAL GENERAL TAPACHULA,7,TAPACHULA,TAPACHULA DE CÓRDOVA Y ORDÓÑEZ,"HOSPITAL GENERAL
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. MIGUEL ANGEL BARRIOS ANDALUZ,LIC. ALEX HIRAM CAMEY BANECO,LIC. ALEX HIRAM CAMEY BANECO,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,H.G TAPACHULA
CSSSA017504,H. B. C. DEL PORVENIR,10,EL PORVENIR,EL PORVENIR DE VELASCO SUÁREZ,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. OSVALDO BLANCO PEREZ,C.P. BENJAMIN WILFRIDO ROBLEDO MUÑOZ,C.P. BENJAMIN WILFRIDO ROBLEDO MUÑOZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN DEL HBC DEL PORVENIR
CSSSA018781,H. B. C. DE FRONTERA COMALAPA,3,FRONTERA COMALAPA,FRONTERA COMALAPA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR.Luis Eduardo Bonifaz Figueroa,C.P. Jose Limberg Altuzar Rodriguez,I.S.C. Alejandro Miguel Monzon Ordoñez,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacén de HBC Frontera Comalapa
CSSSA017516,H. B. C. DE REVOLUCIÓN MEXICANA,4,VILLA CORZO,REVOLUCIÓN MEXICANA,"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",DR. ROUSSEL DAMIAN PALENCIA,LIC.SURAYA MUÑOZ MORENO,LIC. ERNESTO MORENO RODAS,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,ALMACEN HBC DE REVOLUCION MEXICANA
CSSSA009162,UNIDAD DE ATENCIÓN A LA SALUD MENTAL SAN AGUSTÍN,1,TUXTLA GUTIÉRREZ,EL JOBO,"HOSPITAL PSIQUIÁTRICO (INCLUYE GRANJAS)
",exfarma,3,"EXFARMA, S.A. DE C.V.",PSIC. VIVIANA JANETH ACEVES CHAVEZ,LIC. BERSAIN RAMIREZ SANTOS,LIC. GLORIA DEL CARMEN RODRIGUEZ CARTAGENA,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,UNIDAD DE ATENCION A LA SALUD MENTAL ´´SAN AGUSTIN ´´
CSSSA019954,HOSPITAL CHIAPAS NOS UNE DR. JESUS GILBERTO GOMEZ MAZA,I,TUXTLA GUTIÉRREZ,TUXTLA GUTIÉRREZ,HOSPITAL GENERAL,disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. MARTÍN ALONSO JARA BURGUETE,LIC. JESÚS SILVESTRE ZENDREROS ESPINOSA,LIC. MARIA OLIVIA RIOS LÓPEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,"HOSPITAL CHIAPAS NOS UNE ""DR. JESUS GILBERTO GOMEZ MAZA"""
CSSSA000325,FRANCISCO I. MADERO,10,AMATENANGO DE LA FRONTERA,FRANCISCO I. MADERO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000412,H. B. C. DE ÁNGEL ALBINO CORZO,4,ANGEL ALBINO CORZO,JALTENANGO DE LA PAZ (ANGEL ALBINO CORZO),"HOSPITAL INTEGRAL (COMUNITARIO)
",exfarma,3,"EXFARMA, S.A. DE C.V.",Dra. Dania Citlali Molina Palacios,Yani Marissa Bravo Sosa,Jesús Moreno salas,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen del HBC Angel A Corzo
CSSSA019242,H. B. C. DE OSTUACÁN,5,OSTUACÁN,OSTUACÁN,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Dr. Jose Luis Torres Valdes,Lic Jose Guadalupe Perez Hernandez,Sergio perez Salas,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen de HBC Ostuacan
CSSSA008264,HOSPITAL GENERAL YAJALÓN,6,YAJALÓN,YAJALÓN,"HOSPITAL GENERAL
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",DR. CARLOS RAUL CETINA MOSCOSO,L.A.E. MARIA LUISA MARTINEZ ROBLES,MARTHA EUNICE CONSTANTINO BERMUDEZ,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,HOSPITAL GENERAL DE YAJALON CHIAPAS
CSSSA000016,NUEVA REFORMA,7,ACACOYAGUA,NUEVA REFORMA,"CASA DE SALUD
",exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA017521,H. B. C.  DE TAPILULA,5,TAPILULA,TAPILULA,"HOSPITAL INTEGRAL (COMUNITARIO)
",disur,3,"DISTRIBUIDORA DISUR, S.A. DE C.V.",Director de la unidad,Administrador,Encargado de almacén,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,Almacen del hospital
CSSSA000161,LA GRANDEZA,9,ALTAMIRANO,LA GRANDEZA,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000202,MORELIA,9,ALTAMIRANO,MORELIA (VICTÓRICO RODOLFO GRAJALES),"UNIDAD MÓVIL
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000313,CHIQUISBIL,10,AMATENANGO DE LA FRONTERA,CHIQUISBIL,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000395,PALESTINA,10,AMATENANGO DE LA FRONTERA,PALESTINA,"CASA DE SALUD
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000576,OJO DE AGUA CENTRO,10,BEJUCAL DE OCAMPO,OJO DE AGUA CENTRO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,"DISTRIBUIDORA DISUR, S.A. DE C.V.",NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
federal,Federal,x,NULL,NULL,NULL,exfarma,1,"EXFARMA, S.A. DE C.V.",NULL,NULL,NULL,NULL,NULL
CSSSA000021,FLOR DEL CARMEN,7,ACACOYAGUA,FLOR DEL CARMEN UNO,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000033,LAS BRISAS,7,ACACOYAGUA,LAS BRISAS,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000050,VILLA DE ACALA,1,ACALA,ACALA,"RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000062,CRUZ CHIQUITA,1,ACALA,CRUZ CHIQUITA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000074,LUIS ECHEVERRÍA ÁLVAREZ,1,ACALA,LUIS ECHEVERRÍA ÁLVAREZ,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000086,CENTRO DE SALUD ACAPETAHUA,7,ACAPETAHUA,ACAPETAHUA,"RURAL DE 02 NÚCLEOS BÁSICOS
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000091,BARRA DE ZACAPULCO,7,ACAPETAHUA,BARRA ZACAPULCO,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000103,EJIDO LAS MURALLAS,7,ACAPETAHUA,LAS MURALLAS,"RURAL DE 01 NÚCLEO BÁSICO
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000120,UNIDAD MÉDICA MÓVIL ACUÁTICA (LA LUPE),7,ACAPETAHUA,LA LUPE,"UNIDAD MÓVIL
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000132,SAN JOSÉ AGUAJAL,7,ACAPETAHUA,SAN JOSÉ AGUAJAL,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000144,RÍO NEGRO,7,ACAPETAHUA,RÍO NEGRO,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000156,FRANCISCO VILLA,7,ACAPETAHUA,FRANCISCO VILLA,"CASA DE SALUD
",exfarma,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000173,BIENES COMUNALES LA LAGUNA,9,ALTAMIRANO,LA LAGUNA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000185,SANTA CECILIA EL PEDREGAL,9,ALTAMIRANO,SANTA CECILIA,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000190,NUEVA GALILEA,9,ALTAMIRANO,NUEVA GALILEA,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000214,SAN MIGUEL CHIPTIC,9,ALTAMIRANO,SAN MIGUEL CHIPTIC,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000226,COL. ADOLFO LÓPEZ MATEOS,5,AMATÁN,ADOLFO LÓPEZ MATEOS,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000243,GUADALUPE VICTORIA,5,AMATÁN,GUADALUPE VICTORIA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000255,EL LIMÓN,5,AMATÁN,EL LIMÓN,"UNIDAD MÓVIL
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000260,ESQUIPULAS,5,AMATÁN,ESQUIPULAS,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000272,EL NARANJO 2A. SECCIÓN,5,AMATÁN,EL NARANJO 2DA. SECCIÓN,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000284,REFORMA Y PLANADA,5,AMATÁN,REFORMA Y PLANADA,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000301,AGUACATILLO,10,AMATENANGO DE LA FRONTERA,AGUACATILLO,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000342,OJO DE AGUA LAS CRUCES,10,AMATENANGO DE LA FRONTERA,OJO DE AGUA LAS CRUCES,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000354,PACAYAL FRONTERA,10,AMATENANGO DE LA FRONTERA,EL PACAYAL,"RURAL DE 02 NÚCLEOS BÁSICOS
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000371,RÍO GUERRERO,10,AMATENANGO DE LA FRONTERA,RÍO GUERRERO,"RURAL DE 01 NÚCLEO BÁSICO
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
CSSSA000383,20 DE NOVIEMBRE,10,AMATENANGO DE LA FRONTERA,VEINTE DE NOVIEMBRE,"CASA DE SALUD
",disur,1,NULL,NULL,NULL,NULL,DR. LUIS JOSÉ MANCILLA VELAZQUEZ,NULL
